Year,CSIRO - Adjusted sea level (inches),CSIRO - Lower error bound (inches),CSIRO - Upper error bound (inches),NOAA - Adjusted sea level (inches)
1993,6.291338576,6.027559049,6.555118104,6.291338576
1994,6.499999993,6.236220466,6.763779521,6.310873083
1995,6.618110229,6.354330702,6.881889757,6.491944632
1996,6.787401568,6.523622041,7.051181095,6.650532647
1997,7.066929127,6.803149599,7.330708654,6.740033959
1998,6.665354324,6.393700781,6.937007867,6.865030412
1999,7.011811016,6.736220466,7.287401567,6.843632243
2000,7.062992119,6.791338576,7.334645662,6.905792086
2001,7.287401567,7.019685032,7.555118103,7.05800278
2002,7.381889756,7.110236213,7.653543299,7.290008417
2003,7.759842512,7.484251961,8.035433063,7.461613419
2004,7.740157472,7.464566922,8.015748023,7.473863577
2005,7.74409448,7.472440937,8.015748023,7.606167314
2006,7.917322827,7.645669284,8.18897637,7.652010954
2007,7.996062984,7.712598417,8.279527551,7.658591053
2008,8.350393692,8.078740149,8.622047235,7.862772109
2009,8.586614164,8.311023614,8.862204715,7.993083968
2010,8.901574794,8.618110227,9.185039361,8.065856398
2011,8.96456692,8.661417314,9.267716526,7.97687824
2012,9.326771644,8.992125975,9.661417313,8.397377333
2013,8.980314951,8.622047235,9.338582668,8.484542336
2014,,,,8.598323546
